uid	original_id	id	original_title	title	rating
545739205525767	18345	2432	Depressed Security Guard Turns Big Flashlight On Self	DEPRESSED SECURITY GUARD TURNS Gun ON SELF	0
10152308517891404	18345	2411	Depressed Security Guard Turns Big Flashlight On Self	SECURITY GUARD TURNS BIG FLASHLIGHT ON SELF	0.848
10152308517891404	18345	2411	Depressed Security Guard Turns Big Flashlight On Self	SECURITY GUARD TURNS BIG FLASHLIGHT ON SELF	1
guest_0360f3c6c274052f62ca8603d19a2ebd	18346	995	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES EX-WIFE OF FRAUD	0.157
guest_0360f3c6c274052f62ca8603d19a2ebd	18346	995	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES EX-WIFE OF FRAUD	0
guest_f5e7a9ebb7c90ceb0717173cf402372a	18346	3858	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES patient OF FRAUD	0.981
guest_f5e7a9ebb7c90ceb0717173cf402372a	18346	3858	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES patient OF FRAUD	0.014
545739205525767	18346	715	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	US GOVERNMENT ACCUSES FUGITIVE DOCTOR OF FRAUD	1
545739205525767	18346	715	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	US GOVERNMENT ACCUSES FUGITIVE DOCTOR OF FRAUD	0
guest_27d195940e9c8b9ef6a485af5d3f406a	18346	4037	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES DEVIN MACGREGOR OF FRAUD	0.674
guest_27d195940e9c8b9ef6a485af5d3f406a	18346	4037	Fugitive Doctor Accuses Devlin MacGregor Of Fraud	FUGITIVE DOCTOR ACCUSES DEVIN MACGREGOR OF FRAUD	1
guest_5f610f6927582e251ba318d6b8292ec2	18347	6473	AIG Nearly Blows All The Goodwill Built Up By Wall Street In Recent Years	CRASH NEARLY BLOWS ALL THE GOODWILL BUILT UP BY WALL STREET IN RECENT YEARS	NULL
guest_f026e6858dd8913745d227aa87adb29f	18347	6444	AIG Nearly Blows All The Goodwill Built Up By Wall Street In Recent Years	AIG NEARLY SHUTS ALL THE GOODWILL BUILT UP BY WALL STREET IN RECENT YEARS	0.984
guest_c323f388e63506d4694f8e17eabda27b	18348	3459	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	Now age doesn't matter	NULL
guest_c323f388e63506d4694f8e17eabda27b	18348	3459	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	Now age doesn't matter	0
guest_c323f388e63506d4694f8e17eabda27b	18348	3459	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	Now age doesn't matter	0
guest_62238d52e8d0e5d5ff256d6d11003b1b	18348	3444	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	65-YEAR-OLD VOWS TO CHANGE LIFESTYLE AFTER SECOND HEART ATTACK	1
guest_62238d52e8d0e5d5ff256d6d11003b1b	18348	3444	Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack	65-YEAR-OLD VOWS TO CHANGE LIFESTYLE AFTER SECOND HEART ATTACK	0.229
guest_6c07de2dc8f179ff3a43c1dcba523ebb	18353	1686	Israel Vows To Use Veto Power If Chuck Hagel Confirmed As U.S. Secretary Of Defense	Isreal quiet about appointment of Hagel	0
guest_6c07de2dc8f179ff3a43c1dcba523ebb	18353	1686	Israel Vows To Use Veto Power If Chuck Hagel Confirmed As U.S. Secretary Of Defense	Isreal quiet about appointment of Hagel	1
guest_7c87d371ba285364d201b908148c476e	18353	1641	Israel Vows To Use Veto Power If Chuck Hagel Confirmed As U.S. Secretary Of Defense	Israel vows to use veto power if Hilary Clinton confirmed as U.S. Secretary of Defenst	1
guest_7c87d371ba285364d201b908148c476e	18353	1641	Israel Vows To Use Veto Power If Chuck Hagel Confirmed As U.S. Secretary Of Defense	Israel vows to use veto power if Hilary Clinton confirmed as U.S. Secretary of Defenst	0.756
guest_7c87d371ba285364d201b908148c476e	18353	1641	Israel Vows To Use Veto Power If Chuck Hagel Confirmed As U.S. Secretary Of Defense	Israel vows to use veto power if Hilary Clinton confirmed as U.S. Secretary of Defenst	0
guest_f8aca4c329cec62d8bf0036d14e7f0c5	18380	4474	Pitiful Man Frantically Urging Coworkers To Join NHL Fantasy League	MAN FRANTICALLY URGING COWORKERS TO JOIN NHL FANTASY LEAGUE	0.277
guest_9ff0bd800892663fdc3888e4d1b93368	18380	4446	Pitiful Man Frantically Urging Coworkers To Join NHL Fantasy League	20% PROJEC ENCOURAGES COWORKERS TO JOIN NHL FANTASY LEAGUE	0.183
guest_e37acf7bd268a6e12d9e424deb67af29	18390	6478	Silvio Berlusconi Swears Dancer Was Of Legal Age When He Paid Her For Sex Using State Money	SILVIO BERLUSCONI SWEARS DANCER WAS OF LEGAL AGE	NULL
guest_5f610f6927582e251ba318d6b8292ec2	18390	6475	Silvio Berlusconi Swears Dancer Was Of Legal Age When He Paid Her For Sex Using State Money	SILVIO BERLUSCONI SWEARS PROSTITUTE WAS OF LEGAL AGE WHEN HE PAID HER FOR SEX USING STATE MONEY	NULL
guest_542736d960bf72183dc5dd845575f264	18402	1201	Bill Belichick Builds New Tight End From Mutilated Dog Parts	BILL BELICHICK BUILDS NEW TIGHT END FROM DRAFT PICKS	0.766
guest_542736d960bf72183dc5dd845575f264	18402	1201	Bill Belichick Builds New Tight End From Mutilated Dog Parts	BILL BELICHICK BUILDS NEW TIGHT END FROM DRAFT PICKS	0.974
545739205525767	18402	1110	Bill Belichick Builds New Tight End From Mutilated Dog Parts	BILL BELICHICK BUILDS NEW defense FROM many PARTS	0.278
545739205525767	18402	1110	Bill Belichick Builds New Tight End From Mutilated Dog Parts	BILL BELICHICK BUILDS NEW defense FROM many PARTS	0.019
guest_51e43df2ce282c022a3b22d6cc15a1d9	18413	6095	Seven Lucky Oprah Guests Find Tour De France Titles Under Their Chairs	SEVEN LUCKY OPRAH GUESTS FIND CAR TITLES UNDER THEIR CHAIRS	0.01
guest_1806a8ea81283769d6705c7a0d3b00e4	18413	6097	Seven Lucky Oprah Guests Find Tour De France Titles Under Their Chairs	SEVEN LUCKY OPRAH GUESTS FIND TOUR DE FRANCE TICKETS UNDER THEIR CHAIRS	0.502
guest_f620c3c4622bd1d2906504bbafc234b5	18426	4131	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA SWERS IN AMONG INAUGURATION FESTIVITIES	NULL
guest_f620c3c4622bd1d2906504bbafc234b5	18426	4131	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA SWERS IN AMONG INAUGURATION FESTIVITIES	0.991
guest_f620c3c4622bd1d2906504bbafc234b5	18426	4131	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA SWERS IN AMONG INAUGURATION FESTIVITIES	NULL
guest_f620c3c4622bd1d2906504bbafc234b5	18426	4131	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA SWERS IN AMONG INAUGURATION FESTIVITIES	0.948
504504090138	18426	2302	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES WITH speech	0
504504090138	18426	2302	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES WITH speech	0
guest_62238d52e8d0e5d5ff256d6d11003b1b	18426	3098	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES	1
guest_62238d52e8d0e5d5ff256d6d11003b1b	18426	3098	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES	0
10203557386389182	18426	2297	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES WITH CEREMONIAL FLYOVER	0.759
10203557386389182	18426	2297	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES WITH CEREMONIAL FLYOVER	NULL
10203557386389182	18426	2297	Obama Begins Inauguration Festivities With Ceremonial Drone Flyover	OBAMA BEGINS INAUGURATION FESTIVITIES WITH CEREMONIAL FLYOVER	0.583
guest_7ea32f2b50190c6b9b7af6d041ceed2a	18428	1574	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	POLITICALLY ACHIEVABLE REFORMS REDUCED TO ONE MINOR CHANGE TO JAYWALKING CODE	0.691
guest_7ea32f2b50190c6b9b7af6d041ceed2a	18428	1574	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	POLITICALLY ACHIEVABLE REFORMS REDUCED TO ONE MINOR CHANGE TO JAYWALKING CODE	0
guest_7efac8f0bd35a6b36009a0a8a0086e0d	18428	1502	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	CHANGES TO TRAFFIC CODE TOP LIST OF ACHIEVABLE REFORMS	0.325
guest_7efac8f0bd35a6b36009a0a8a0086e0d	18428	1502	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	CHANGES TO TRAFFIC CODE TOP LIST OF ACHIEVABLE REFORMS	0
guest_7efac8f0bd35a6b36009a0a8a0086e0d	18428	1502	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	CHANGES TO TRAFFIC CODE TOP LIST OF ACHIEVABLE REFORMS	NULL
guest_7efac8f0bd35a6b36009a0a8a0086e0d	18428	1502	List Of Politically Achievable Reforms Down To Just Three Minor Changes To Traffic Code	CHANGES TO TRAFFIC CODE TOP LIST OF ACHIEVABLE REFORMS	0
guest_8987c1b135f7eb10ff16d49cf063e40a	18443	1798	Falcons Starting To See Why No One Believed In Them	CHICAGO CUBS STARTING TO SEE WHY NO ONE BELIEVED IN THEM	0.775
guest_8987c1b135f7eb10ff16d49cf063e40a	18443	1798	Falcons Starting To See Why No One Believed In Them	CHICAGO CUBS STARTING TO SEE WHY NO ONE BELIEVED IN THEM	0
guest_8987c1b135f7eb10ff16d49cf063e40a	18443	1798	Falcons Starting To See Why No One Believed In Them	CHICAGO CUBS STARTING TO SEE WHY NO ONE BELIEVED IN THEM	0.909
guest_442aec7f518d72aaf7e78f7dd021021a	18443	1788	Falcons Starting To See Why No One Believed In Them	Atlanta Falcons starting to see why no one believed in them.	0.482
guest_442aec7f518d72aaf7e78f7dd021021a	18443	1788	Falcons Starting To See Why No One Believed In Them	Atlanta Falcons starting to see why no one believed in them.	0.866
545739205525767	18450	2209	Falcons Confirm Matt Ryan Suffered Grade 2 Choke	FALCONS CONFIRM MATT RYAN SUFFERED GRADE 2 FRACTURE	0
545739205525767	18450	2209	Falcons Confirm Matt Ryan Suffered Grade 2 Choke	FALCONS CONFIRM MATT RYAN SUFFERED GRADE 2 FRACTURE	0
guest_3c7ea3ddaba1c72965c40239f1d35c3c	18450	4250	Falcons Confirm Matt Ryan Suffered Grade 2 Choke	Matt Ryan was choked confirmed the falcons	0.822
guest_3423fbdafa9d1c6f9bdd6d965cad43c8	18457	5876	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	DIETARY FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF GRAINS, CEREALS PER DAY	NULL
guest_3423fbdafa9d1c6f9bdd6d965cad43c8	18457	5876	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	DIETARY FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF GRAINS, CEREALS PER DAY	0.236
545739205525767	18457	1451	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	 FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF  GRAINS, CEREALS PER DAY	0.962
545739205525767	18457	1451	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	 FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF  GRAINS, CEREALS PER DAY	0
guest_8a7d88b125c3644d3492c93ede5a8aed	18457	1453	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF GRAINS, CEREALS PER DAY	0.819
guest_8a7d88b125c3644d3492c93ede5a8aed	18457	1453	Roommate Food Pyramid Updated To Include 4 Servings Of Someone Else's Grains, Cereals Per Day	FOOD PYRAMID UPDATED TO INCLUDE 4 SERVINGS OF GRAINS, CEREALS PER DAY	0.196
guest_62238d52e8d0e5d5ff256d6d11003b1b	18459	3388	Bo Obama Receives Visiting Dognitaries From Furuguay	OBAMA RECEIVES VISITING DOGNITARIES FROM URUGUAY	0.65
guest_62238d52e8d0e5d5ff256d6d11003b1b	18459	3388	Bo Obama Receives Visiting Dognitaries From Furuguay	OBAMA RECEIVES VISITING DOGNITARIES FROM URUGUAY	1
guest_c34b8be23fdd777f5169b93c4fe7b403	18459	2343	Bo Obama Receives Visiting Dognitaries From Furuguay	Barack OBAMA RECEIVES VISITING DiGNITARIES FROM URUGUAY	0
guest_c34b8be23fdd777f5169b93c4fe7b403	18459	2343	Bo Obama Receives Visiting Dognitaries From Furuguay	Barack OBAMA RECEIVES VISITING DiGNITARIES FROM URUGUAY	0
guest_7c3f93556a6356817ae0a6db40b52636	18459	3824	Bo Obama Receives Visiting Dognitaries From Furuguay	 OBAMA RECEIVES VISITING DOGNITARIES FROM URUGUAY	0.826
guest_7c3f93556a6356817ae0a6db40b52636	18459	3824	Bo Obama Receives Visiting Dognitaries From Furuguay	 OBAMA RECEIVES VISITING DOGNITARIES FROM URUGUAY	0.973
10203557386389182	18459	2286	Bo Obama Receives Visiting Dognitaries From Furuguay	BARACK OBAMA RECEIVES VISITING DIGNITARIES FROM URUGUAY	NULL
10203557386389182	18459	2286	Bo Obama Receives Visiting Dognitaries From Furuguay	BARACK OBAMA RECEIVES VISITING DIGNITARIES FROM URUGUAY	NULL
10203557386389182	18459	2286	Bo Obama Receives Visiting Dognitaries From Furuguay	BARACK OBAMA RECEIVES VISITING DIGNITARIES FROM URUGUAY	0
10203557386389182	18459	2286	Bo Obama Receives Visiting Dognitaries From Furuguay	BARACK OBAMA RECEIVES VISITING DIGNITARIES FROM URUGUAY	NULL
10203557386389182	18459	2286	Bo Obama Receives Visiting Dognitaries From Furuguay	BARACK OBAMA RECEIVES VISITING DIGNITARIES FROM URUGUAY	0
guest_19718431119ff218f1ed93dc7cfb0cc0	18467	5165	Ray LaHood Resigns Following Mysterious Disappearance Of Country Road	RAY LAHOOD RESIGNS FOLLOWING MYSTERIOUS DISAPPEARANCE OF COUNTRY.	1
guest_2e6371f0bbac18e3973907166cd35cf8	18467	5160	Ray LaHood Resigns Following Mysterious Disappearance Of Country Road	 RAY LAHOOD RESIGNS FOLLOWING MYSTERIOUS DISAPPEARANCE OF HIS WIFE	0.157
10152344750022333	18475	1962	Creepy One-Word Text Message From Mom Could Mean Anything	CREEPY ONE-WORD TEXT MESSAGE FROM GOD COULD MEAN ANYTHING	1
10152344750022333	18475	1962	Creepy One-Word Text Message From Mom Could Mean Anything	CREEPY ONE-WORD TEXT MESSAGE FROM GOD COULD MEAN ANYTHING	1
guest_2eb78d39bb00cb1f7021fe0b81a9d515	18475	1969	Creepy One-Word Text Message From Mom Could Mean Anything	Increased text communication from parents concerns todays teens.	0.136
guest_2eb78d39bb00cb1f7021fe0b81a9d515	18475	1969	Creepy One-Word Text Message From Mom Could Mean Anything	Increased text communication from parents concerns todays teens.	NULL
guest_2eb78d39bb00cb1f7021fe0b81a9d515	18475	1969	Creepy One-Word Text Message From Mom Could Mean Anything	Increased text communication from parents concerns todays teens.	0.194
545739205525767	18481	1027	Depressed Groundhog Sees Shadow Of Rodent He Once Was	 GROUNDHOG SEES SHADOW 	0.428
545739205525767	18481	1027	Depressed Groundhog Sees Shadow Of Rodent He Once Was	 GROUNDHOG SEES SHADOW 	0.91
545739205525767	18481	1027	Depressed Groundhog Sees Shadow Of Rodent He Once Was	 GROUNDHOG SEES SHADOW 	1
guest_42cf00acae028bd7787bbc8b7e6e430e	18481	1211	Depressed Groundhog Sees Shadow Of Rodent He Once Was	DEPRESSED GROUNDHOG SEES SHADOW OF THE RODENT HE ONCE WAS	0.776
guest_42cf00acae028bd7787bbc8b7e6e430e	18481	1211	Depressed Groundhog Sees Shadow Of Rodent He Once Was	DEPRESSED GROUNDHOG SEES SHADOW OF THE RODENT HE ONCE WAS	0
guest_09f19f7c74afb1967eff85ab650ac7c3	18503	2197	Department Of Interior Bilked Out Of $18 Million In Funding By Con Gopher	Department of Interior Wastes $18 Million on Junk Contracts	0.061
guest_09f19f7c74afb1967eff85ab650ac7c3	18503	2197	Department Of Interior Bilked Out Of $18 Million In Funding By Con Gopher	Department of Interior Wastes $18 Million on Junk Contracts	0
guest_9a8824d1591f162bcc9d28b9a61a86fe	18503	2113	Department Of Interior Bilked Out Of $18 Million In Funding By Con Gopher	DEPARTMENT OF INTERIOR BILKED OUT OF $18 MILLION IN FUNDING BY CON	0.687
guest_9a8824d1591f162bcc9d28b9a61a86fe	18503	2113	Department Of Interior Bilked Out Of $18 Million In Funding By Con Gopher	DEPARTMENT OF INTERIOR BILKED OUT OF $18 MILLION IN FUNDING BY CON	0.201
guest_440e47eeb9d0cbfb25a676c8f60f0370	18506	3000	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED TO TEACH 8-YEAR-OLD ABOUT RESPONSIBILITY	0.906
guest_440e47eeb9d0cbfb25a676c8f60f0370	18506	3000	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED TO TEACH 8-YEAR-OLD ABOUT RESPONSIBILITY	NULL
guest_440e47eeb9d0cbfb25a676c8f60f0370	18506	3000	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED TO TEACH 8-YEAR-OLD ABOUT RESPONSIBILITY	NULL
guest_440e47eeb9d0cbfb25a676c8f60f0370	18506	3000	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED TO TEACH 8-YEAR-OLD ABOUT RESPONSIBILITY	1
guest_eadae159976df926d6987aa365e462ab	18506	5210	Doomed Rabbit To Teach 8-Year-Old About Responsibility	RABBIT ADOPTION PROGRAM TO TEACH 8-YEAR-OLDS ABOUT RESPONSIBILITY	0.259
guest_4712440d5ab89603f17f2f96cb95eab5	18506	2977	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED RABBIT TO TEACH 10-YEAR-OLD ABOUT RESPONSIBILITY	1
guest_4712440d5ab89603f17f2f96cb95eab5	18506	2977	Doomed Rabbit To Teach 8-Year-Old About Responsibility	DOOMED RABBIT TO TEACH 10-YEAR-OLD ABOUT RESPONSIBILITY	1
504504090138	18508	2681	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	new ZOOKEEPER HAS ALWAYS HAD SPECIAL CONNECTION WITH ANIMALS	NULL
504504090138	18508	2681	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	new ZOOKEEPER HAS ALWAYS HAD SPECIAL CONNECTION WITH ANIMALS	NULL
504504090138	18508	2681	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	new ZOOKEEPER HAS ALWAYS HAD SPECIAL CONNECTION WITH ANIMALS	1
504504090138	18508	2681	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	new ZOOKEEPER HAS ALWAYS HAD SPECIAL CONNECTION WITH ANIMALS	NULL
504504090138	18508	2681	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	new ZOOKEEPER HAS ALWAYS HAD SPECIAL CONNECTION WITH ANIMALS	0
guest_00f449650c1236689632db66b446d53a	18508	2862	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	Zookeeper has always had special connection with animals	0.934
guest_00f449650c1236689632db66b446d53a	18508	2862	Horribly Depressed Zookeeper Has Always Had Special Connection With Animals	Zookeeper has always had special connection with animals	0
guest_28efa45099a9f8a9812bb02333960e74	18514	1013	PETA Protests Use Of Animatronic Animals In Commercials	NEWS REPORT: PETA PROTESTS USE OF ANIMATRONIC ANIMALS IN COMMERCIALS	NULL
guest_28efa45099a9f8a9812bb02333960e74	18514	1013	PETA Protests Use Of Animatronic Animals In Commercials	NEWS REPORT: PETA PROTESTS USE OF ANIMATRONIC ANIMALS IN COMMERCIALS	0.834
guest_28efa45099a9f8a9812bb02333960e74	18514	1013	PETA Protests Use Of Animatronic Animals In Commercials	NEWS REPORT: PETA PROTESTS USE OF ANIMATRONIC ANIMALS IN COMMERCIALS	0.283
545739205525767	18514	980	PETA Protests Use Of Animatronic Animals In Commercials	PETA PROTESTS USE OF ANIMALS IN COMMERCIALS	0.141
545739205525767	18514	980	PETA Protests Use Of Animatronic Animals In Commercials	PETA PROTESTS USE OF ANIMALS IN COMMERCIALS	0
guest_116f8536d2011cfd923759547b7ed3ff	18533	3943	Area Woman Wearing Same Boots As Captain Hook	woman wearing same area boots as captain hook	1
guest_116f8536d2011cfd923759547b7ed3ff	18533	3943	Area Woman Wearing Same Boots As Captain Hook	woman wearing same area boots as captain hook	0.231
guest_693d0000d3723b6754c75459c55a3302	18533	3939	Area Woman Wearing Same Boots As Captain Hook	ARE WOMAN WEARING SAME BOOTS AS CAPTAIN HOOK?	1
guest_693d0000d3723b6754c75459c55a3302	18533	3939	Area Woman Wearing Same Boots As Captain Hook	ARE WOMAN WEARING SAME BOOTS AS CAPTAIN HOOK?	1
guest_8680d70e589de041bd0947c7b219f276	18555	4819	Completely Self-Absorbed Obama Gets Up And Just Talks For An Hour Straight	COMPLETELY HEALED MUTE GETS UP AND JUST TALKS FOR AN HOUR STRAIGHT	0.752
guest_5e89b3894996eda8d3ad2be245c2d512	18555	4835	Completely Self-Absorbed Obama Gets Up And Just Talks For An Hour Straight	TRUMP GETS UP AND JUST TALKS FOR AN HOUR STRAIGHT	0.635
guest_b9a804b611e1939f42ac98f5c1059caa	18559	444	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	METH ACTUALLY NOT THAT BAD FOR YOU, REPORT DOCTORS DISMANTLING STEREOTYPE	NULL
guest_b9a804b611e1939f42ac98f5c1059caa	18559	444	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	METH ACTUALLY NOT THAT BAD FOR YOU, REPORT DOCTORS DISMANTLING STEREOTYPE	NULL
guest_b9a804b611e1939f42ac98f5c1059caa	18559	444	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	METH ACTUALLY NOT THAT BAD FOR YOU, REPORT DOCTORS DISMANTLING STEREOTYPE	0.661
guest_b9a804b611e1939f42ac98f5c1059caa	18559	444	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	METH ACTUALLY NOT THAT BAD FOR YOU, REPORT DOCTORS DISMANTLING STEREOTYPE	1
guest_b9a804b611e1939f42ac98f5c1059caa	18559	444	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	METH ACTUALLY NOT THAT BAD FOR YOU, REPORT DOCTORS DISMANTLING STEREOTYPE	1
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	NULL
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	1
504504090138	18559	454	Meth Actually Not That Bad For You, Report Doctors Dismantling Stereo	Sugar actually not that bad for you, report doctors dismantling stereo	0.298
guest_2e13f38377214e7aeca209d4114a2041	18564	5594	'Walking Dead' Writers Regret Naming Every Single Character 'Rick'	'WALKING DEAD' WRITERS REGRET not NAMING CHARACTER 'RICK'	0.022
guest_5599dd25ba935052cb703010921dbc1f	18564	5572	'Walking Dead' Writers Regret Naming Every Single Character 'Rick'	'WALKING DEAD' WRITERS REGRET NOT NAMING EVERY SINGLE CHARACTER 'CARL'	0.99
